Adair,249
Andrew,789
Audrain,943
Barry,103
Barton,1189
Bates,544
Benton,320
Bollinger,456
Butler,388
Callaway,630
Cape Girardeau,1134
Carroll,769
Cass,727
Cedar,548
Chariton,788
Clark,252
Clay,193
Clinton,797
Cole,405
Cooper,882
Dade,249
Dallas,309
Daviess,849
Dent,144
Douglas,62
Franklin,751
Gasconade,862
Gentry,877
Greene,1882
Grundy,324
Harrison,717
Hickory,216
Holt,377
Howard,228
Howell,1022
Iron,195
Jackson,10000
Jasper,1321
Jefferson,1137
Johnson,1444
Knox,38
Lawrence,416
Lewis,468
Linn,1042
Livingston,663
Macon,696
Madison,452
Maries,3
Marion,544
Mercer,117
Miller,487
Moniteau,149
Monroe,271
Morgan,163
Newton,232
Nodaway,1222
Oregon,75
Osage,604
Ozark,6
Perry,1065
Phelps,532
Platte,874
Polk,1163
Ralls,416
Ray,117
Reynolds,61
Ripley,303
Sainte Genevieve,526
Saline,414
Schuyler,211
Scotland,369
Scott,309
Shelby,549
St Clair,944
St Louis,10000
St Louis City,4607
Ste Genevieve,427
Sullivan,193
Texas,1308
Vernon,768
Warren,448
Washington,158
Webster,174
Worth,337
Total,68993
